id,timing,target,condition,cond_option,ability,ability_option
1082,on_this_destroy,none,none,none,summon,id=910051102&count=2
1083,on_this_destroy,none,none,none,summon,id=910051104&count=1
1084,on_this_use,me_field_1_index+other_[type:1|9],none,me.field[type:1|9].count>0,destroy,none
1085,on_this_use,op_field_1_random_[type:1|9],none,me.field[type:1|9].count>0,destroy,none
1086,on_this_use,all_leader_0_all_[type:0],none,none,damage,damage=1
1087,on_this_use,none,none,none,summon,id=910061101&count=1
1088,on_this_destroy,me_leader_0_all_[type:0],none,none,heal,heal=2
1089,on_this_use,self,none,me.isVenge=1,set_keyword,keyword=1
1090,on_this_use,me_leader_0_all_[type:0],none,none,damage,damage=2
1091,on_this_use,none,none,none,draw,count=2
1092,on_this_use,me_leader_0_all_[type:0],none,none,damage,damage=2
1093,on_this_use,op_leader+field_1_index_[type:0|1|9],none,none,damage,damage=3
1094,on_this_use,none,none,none,summon,id=910061101&count=2
1095,on_this_use,me_field_0_all_[id:910061101],none,none,buff,add=1/0
1096,on_this_evolve_with_ep,all_leader_0_all_[type:0],none,none,damage,damage=3
1097,on_this_use,all_leader_0_all_[type:0],none,none,damage,damage=1
1098,on_this_use,op_field_1_index_[type:1|9],none,none,damage,damage=3
1099,on_this_use,me_leader+field_1_index_[type:0|1|9],none,none,heal,heal=2
1100,on_this_use,me_field_1_index_[type:3][keyword:18],none,none,set_countdown,add=-1
1101,on_this_use,me_field_1_index_[type:3][keyword:18],none,none,set_countdown,add=-2
1102,on_this_use,none,none,none,draw,count=1
1103,on_this_use,op_field_1_index_[type:1|9][hp:3|-2],none,none,vanish,none
1104,on_this_use,me_leader+field_1_index_[type:0|1|9],none,none,heal,heal=2
1105,on_this_use,none,none,none,draw,count=1
1106,on_this_use,op_field_1_index_[type:1|9],none,none,vanish,appendix=1107
1107,on_this_use,me_leader_0_all_[type:0],none,none,heal,heal=sourceEffect.target.first.current.hp
1108,on_this_destroy,none,none,none,draw,count=2
1109,on_this_use,none,none,none,draw,count=1&filter=[type:3][keyword:18]
1110,on_this_evolve_with_ep,op_field_1_index_[type:1|9][hp:3|-2],none,none,vanish,none
1111,on_this_destroy,none,none,none,summon,id=910071102/910071104&count=1/1
1112,on_turn_end,self,none,op.isMyTurn=1&effect.source.where=5,destroy,none
1113,on_turn_end,self,none,op.isMyTurn=1&effect.source.where=5,destroy,none
1114,on_this_destroy,none,none,none,draw,count=1
1115,on_this_use,none,none,none,draw,count=1
1116,on_this_destroy,none,none,me.isMyTurn=1,draw,count=1&filter=[trait:4]
1117,on_this_destroy,none,none,op.isMyTurn=1,draw,count=1
1118,on_this_use,none,none,none,add_deck,id=910081103&count=2
1119,on_this_use,self,none,none,buff,enhance=4&add=1/1
1120,on_this_use,none,none,none,get_token,enhance=4&id=910081101&count=1
1121,on_this_use,none,none,none,add_deck,id=910081104&count=2
1122,on_this_use,none,none,none,add_deck,id=910081105&count=2
1123,on_this_use,none,none,none,get_token,id=910081101&count=1
1124,on_this_destroy,none,none,none,get_token,id=910081101&count=1
1125,on_this_use,none,none,none,add_deck,id=910081106&count=2
1126,on_this_use,op_field_1_index_[type:1|9],none,me.isReson=0,damage,damage=3
1127,on_this_use,op_field_1_index_[type:1|9],none,me.isReson=1,damage,damage=5
1128,on_this_use,none,none,me.isReson=1,draw,count=2
1129,on_this_use,none,none,me.isReson=0,draw,count=1
1130,on_this_destroy,none,none,me.isReson=1,draw,count=1
1131,on_this_destroy,none,none,me.isReson=0,draw,count=2
1132,on_this_use,none,none,none,add_deck,id=910081104&count=2
1133,on_this_evolve_with_ep,none,none,none,draw,count=1&filter=[trait:4]
1134,on_this_use,none,none,none,draw,count=1&filter=[trait:4]
1135,on_this_use,none,none,none,add_deck,id=910081103&count=1
1136,on_this_use,me_leader_0_all_[type:0],none,none,add_effect,id=1137&description=自己的回合結束時，抽取1張卡片，並失去此能力。
1137,on_turn_end,none,none,me.isMyTurn=1,draw,autoRemove=true&count=1
1138,on_this_use,none,none,none,summon,enhance=5&id=110101101&count=1
1139,on_this_evolve_with_ep,op_field_1_index_[type:1|9][isAttackFinished:1],none,none,destroy,none
1140,on_turn_end,me_leader_0_all_[type:0],none,me.isMyTurn=1&effect.source.where=5,heal,heal=3
1141,on_this_attack,op_leader+field_0_all_[type:0|1|9],none,none,damage,damage=2
1142,on_this_use,all_field_1_index_[type:1|9],none,none,buff,appendix=1143&add=1/0
1143,on_this_use,sourceEffect.target_field_0_all_[type:1|9],none,none,damage,damage=1
1144,on_this_use,op_field_1_random_[type:1|9],none,none,damage,appendix=1145&damage=2
1145,on_this_use,none,none,op.field[type:1|9].count>me.field[type:1|9].count,summon,id=110001101&count=1
1146,on_this_use,none,none,none,draw,count=1
1147,on_turn_start,me_field_1_random_[type:1|9],none,me.isMyTurn=1&effect.source.where=5,buff,add=1/1
1148,on_this_evolve_with_ep,op_field_1_index_[type:1|9],none,none,damage,damage=1
1149,on_this_evolve_with_ep,op_leader_0_all_[type:0],none,me.hand.count>op.hand.count,damage,damage=1
1150,on_this_evolve_with_ep,none,none,me.hand.count<op.hand.count,draw,count=1
1151,on_this_use,me_field_1_index_[type:1|9],none,none,buff,add=1/0
1152,on_this_use,me_hand_1_index+other_[type:1|9],none,none,set_keyword,appendix=1153&keyword=4
1153,on_this_use,sourceEffect.target_hand_0_all_[type:1|9],none,none,add_effect,id=1154&description=[ffbb00]謝幕曲[-] 抽取1張卡片。
1154,on_this_destroy,none,none,none,draw,count=1
1155,on_this_use,me_hand_0_all,none,none,discard,none
1156,on_this_use,none,none,none,summon,id=110102104&count=1
1157,on_this_use,none,none,none,summon,id=110001101&count=2
1158,on_this_use,none,none,none,accelerate,accelerate=3&id=810102201
1159,on_this_use,op_field_1_index_[type:1|9],none,none,damage,damage=6
1160,on_this_use,none,none,none,random,pdf=1/1&effect=1161/1162
1161,on_this_use,none,none,none,draw,count=3
1162,on_this_use,me_field_1_random_[type:1],none,none,evolve,none
1163,on_this_use,op_field_1_index_[type:1|3|9],none,none,destroy,none
1164,on_this_use,me_hand_1_index+other,none,none,discard,appendix=1165&type=vanish
1165,on_this_use,sourceEffect.target_grave_0_all,none,none,add_deck,hide=true
1166,on_this_use,none,none,none,draw,count=1
1167,on_this_destroy,op_field_1_random_[type:1|9],none,none,destroy,none
1168,on_this_use,none,none,none,travel,filter=[zone:1]
1169,on_this_evolve_with_ep,me_hand_1_index+other_[type:1|9][initCost:5|-2],none,none,summon,appendix=1170&where=hand
1170,on_this_evolve_with_ep,sourceEffect.target_field_0_all_[type:1|9],none,none,set_keyword,appendix=1171&keyword=4
1171,on_this_evolve_with_ep,sourceEffect.target_field_0_all_[type:1|9],none,none,add_effect,id=1172&description=自己的回合結束時，使這個從者返回手牌。
1172,on_turn_end,self,none,me.isMyTurn=1,return,none
1173,on_this_use,me_leader_0_all_[type:0],none,effect.source.where=2&me.hand.count>op.hand.count\effect.source.where[NOT]2&me.hand.count+1>op.hand.count,heal,heal=4
1174,on_this_use,none,none,effect.source.where=2&me.hand.count<op.hand.count\effect.source.where[NOT]2&me.hand.count+1<op.hand.count,draw,count=2
1175,on_this_use,op_leader+field_0_all_[type:0|1|9],none,none,damage,damage=4
1176,on_this_use,me_field_1_index_[type:9],none,none,add_effect,appendix=1177&id=1178&keyword=10&description=[ffbb00]交戰時[-] 回復自己的主戰者1點生命值。抽取1張卡片。
1177,on_this_use,sourceEffect.target_field_0_all_[type:9],none,none,add_effect,id=1179&keyword=10
1178,on_this_defense,me_leader_0_all_[type:0],none,none,heal,heal=1
1179,on_this_defense,none,none,none,draw,count=1
1180,on_this_use,none,none,none,add_deck,id=910103101/910103102&count=2/2
1181,on_this_destroy,op_field_2_random_[type:1|9],none,none,damage,damage=1
1182,on_other_use,self,none,effect.source.where=2&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][trait:7]=1,set_cost,until=turn_end&set=2
1183,on_this_use,all_leader_0_all_[type:0],none,none,heal,heal=2
1184,on_this_use,none,none,none,draw,count=1
1185,on_this_use,none,none,none,draw,who=op&count=1
1186,on_other_use,self,none,effect.source.where=2&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][trait:6]=1,set_cost,until=turn_end&set=2
1187,on_this_use,me_hand_1_index+other,none,none,discard,none
1188,on_this_use,self,none,none,set_keyword,keyword=3
1189,on_this_use,self,none,me.field[craft:0].count[GTE]2,set_keyword,keyword=3
1190,on_this_use,self,none,me.field[craft:0].count[GTE]4,evolve,none
1191,on_this_use,self,turn,me.turn%2=1,set_keyword,keyword=25
1192,on_after_this_attack,self,turn,me.turn%2=0&me.isMyTurn=1&effect.source.where=5&sourceEffect.target.op[type:1|9].count>0,add_effect,until=turn_end&id=1498
1193,on_this_use,none,none,none,accelerate,accelerate=2&id=810104201
1194,on_this_use,none,none,none,summon,id=910104301/910104302&count=1/1
1195,on_other_attack,sourceEffect.source_field_1_first_[type:1|9],none,effect.source.where=5&sourceEffect.source.isMe=1,buff,add=2/0
1196,on_other_attack,self,none,effect.source.where=5&sourceEffect.source.isMe=1,destroy,none
1197,on_other_defense,sourceEffect.me_field_1_first_[type:1|9],none,effect.source.where=5,buff,add=0/2
1198,on_other_defense,self,none,effect.source.where=5,destroy,none
1199,on_this_use,none,none,none,random,pdf=1/1&effect=1200/1201
1200,on_this_use,none,none,none,summon,id=910104301&count=1
1201,on_this_use,none,none,none,summon,id=910104302&count=1
1202,on_this_use,op_field_1_index_[type:1|9],none,none,damage,damage=2
1203,on_this_use,none,none,none,draw,count=1&filter=[type:3][trait:3]
1204,on_this_destroy,none,none,none,random,pdf=1/1&effect=1205/1206
1205,on_this_destroy,none,none,none,get_token,id=910131301&count=1
1206,on_this_destroy,none,none,none,get_token,id=910131302&count=1
1207,on_this_boost,self,source.boost,effect.source.where[NOT]5,set_cost,add=-1
1208,on_this_use,none,none,none,draw,count=1
1209,on_other_use,none,none,effect.source.where=5&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][type:1|9]=1,draw,autoRemove=true&count=1
1210,on_other_use,none,none,effect.source.where=5&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][type:2]=1,draw,autoRemove=true&count=1
1211,on_other_use,none,none,effect.source.where=5&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][type:3]=1,draw,autoRemove=true&count=1
1212,on_this_use,me_hand_1_index+other,none,none,reveal,appendix=1213
1213,on_this_use,sourceEffect.target_hand_0_all,none,none,add_effect,id=1214&keyword=7&description=使用這張卡片時，如果自己的戰場上沒有[ffbb00]誠實的魔導士[-]，則會給予敵方的主戰者5點傷害。
1214,on_this_use,op_leader_0_all_[type:0],none,me.field[id:110131105].count=0,damage,damage=5
1215,on_this_use,none,none,earth[1]=1,summon,earth=1&id=910031103&count=1
1216,on_turn_end,none,none,me.isMyTurn=1&effect.source.where=5,summon,id=910031103&count=1
1217,on_this_use,none,none,none,draw,count=1
1218,on_this_use,me_field_1_index,none,none,transform,id=910031102
1219,on_this_use,none,none,none,summon,id=910031102&count=1
1220,on_this_use,none,none,none,draw,count=1
1221,on_this_use,op_field_1_random_[type:1|9],none,earth[1]=1,damage,earth=1&damage=3
1222,on_this_use,me_deck_0_all_[keyword:14],none,none,boost,add=1
1223,on_this_use,op_field_0_all_[type:1|9],none,me.deck.count>20,damage,damage=3&giveType=takeTurn
1224,on_this_use,op_field_0_all_[type:1|9],none,me.deck.count[LTE]20,damage,damage=7&giveType=takeTurn
1225,on_this_use,op_field_1_index_[type:1|9],none,none,damage,appendix=1226&damage=2
1226,on_this_use,op_field_1_random_[type:9],none,none,damage,damage=2
1227,on_this_use,op_field_1_index_[type:1|9],none,none,damage,damage=3
1228,on_this_use,none,none,none,get_token,id=910131202&count=1
1229,on_this_use,op_field_1_index_[type:1|9],none,none,damage,damage=2
1230,on_this_boost,self,source.boost,effect.source.where[NOT]5,set_cost,add=-1
1231,on_this_use,me_leader_0_all_[type:0],none,none,heal,heal=2
1232,on_this_use,none,none,none,draw,count=1
1233,on_this_use,none,none,me.leader.combo=0,draw,count=1
1234,on_this_use,op_leader+field_1_index_[type:0|1|9],none,none,damage,damage=3
1235,on_this_use,me_field_1_index_[type:1|9],none,none,buff,add=1/1
1236,on_this_use,op_field_0_all_[type:1|9],source.boost,effect.source.boost<10,damage,damage=2
1237,on_this_use,none,source.boost,effect.source.boost<10,get_token,id=910031202&count=1
1238,on_this_use,op_field_0_all_[type:1|9],source.boost,effect.source.boost[GTE]10,damage,damage=4
1239,on_this_use,none,source.boost,effect.source.boost[GTE]10,get_token,id=910031202&count=2
1240,on_this_boost,self,source.boost,effect.source.where[NOT]5,set_cost,add=-1
1241,on_this_use,op_field_1_index_[type:1|9],none,none,set_keyword,appendix=1242&until=op_turn_end&keyword=29
1242,on_this_use,sourceEffect.target_field_0_all_[type:1|9],none,none,add_effect,id=1243&description=自己的回合結束時，給予這個從者1點傷害。
1243,on_turn_end,self,none,me.isMyTurn=1&effect.source.where=5,damage,damage=1
1244,on_this_destroy,none,none,me.deck.count[LTE]20,draw,count=2
1245,on_this_destroy,me_field_1_random_[type:1|9],none,me.deck.count>20,buff,add=1/1
1246,on_this_destroy,me_field_1_random_[type:1|9],none,me.deck.count[LTE]20,buff,add=2/2
1247,on_this_use,none,none,none,draw,count=1&filter=[keyword:14]
1248,on_this_use,op_field_1_index_[type:1|9],none,earth[1]=1,damage,earth=1&damage=3
1249,on_this_use,sourceEffect.target_hand_0_all,none,none,set_cost,until=turn_end&add=-2
1250,on_leave_field,op_field_1_random_[type:1|9],none,effect.source.where=5&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][type:3]=1,damage,damage=1
1251,on_before_this_damage,self,none,none,set_damage,add=-1
1252,on_this_use,self,none,earth[1]=1,set_keyword,earth=1&keyword=2
1253,on_this_boost,self,source.boost,effect.source.where[NOT]5,set_cost,add=-1
1254,on_other_use,self,none,me.isMyTurn=1&effect.source.where=5&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][trait:8]=1,evolve,none
1255,on_this_destroy,me_hand_0_all_[keyword:14],none,none,boost,add=1
1256,on_this_destroy,none,none,none,summon,id=110031301&count=1
1257,on_this_evolve_with_ep,op_field_1_index_[type:1|9],none,earth[2]=1,transform,earth=2&id=910031101
1258,on_this_boost,self,source.boost,effect.source.where[NOT]5,set_cost,add=-1
1259,on_this_evolve_with_ep,me_field_0_all+other_[type:1|9],none,none,buff,add=1/1
1260,on_this_use,me_field_1_random_[type:1|9],none,none,add_effect,id=1261&keyword=8&description=[ffbb00]謝幕曲[-] 召喚1個[ffbb00]土之魔片[-]到戰場上。
1261,on_this_destroy,none,none,none,summon,id=910031301&count=1
1262,on_this_use,me_field_1_random_[type:3][trait:3],none,none,add_effect,id=1263&keyword=8&description=[ffbb00]謝幕曲[-] 召喚1個[ffbb00]泥塵巨像[-]到戰場上。
1263,on_this_destroy,none,none,none,summon,id=910031102&count=1
1264,on_this_use,me_hand_0_all_[type:1|9][keyword:14],none,none,boost,add=1
1265,on_this_use,none,none,me.hand[type:1|9][keyword:14].count[GTE]3,draw,count=1
1266,on_this_use,me_hand_0_all,none,none,reveal,appendix=1267
1267,on_this_use,sourceEffect.target_hand_0_all,none,none,discard,appendix=1268&type=vanish
1268,on_this_use,sourceEffect.target_grave_0_all,none,none,add_deck,appendix=1269
1269,on_this_use,none,none,none,draw,count=sourceEffect.target.all.count
1270,on_this_use,none,none,none,get_token,id=910031202&count=1
1271,on_this_use,none,source.boost,effect.source.boost[GTE]10,get_token,id=910031201&count=1
1272,on_this_use,none,none,none,draw,count=1&filter=[type:1|9]
1273,on_this_use,none,none,none,draw,count=1&filter=[type:2]
1274,on_this_use,none,none,none,summon,id=910031104/910031102/910031103&count=1/1/1
1275,on_this_use,op_field_0_all_[type:1|9],none,earth[2]=1,damage,earth=2&damage=2
1276,on_this_use,op_field_0_all_[type:1|9],none,none,damage,damage=5
1277,on_this_use,me_leader_0_all_[type:0],none,none,heal,heal=5
1278,on_this_use,none,none,none,summon,id=910031301&count=1
1279,on_this_evolve_with_ep,none,none,earth[1]=1,summon,earth=1&id=910031103&count=1
1280,on_this_evolve_with_ep,me_field_0_all+other_[type:1|9],none,earth[2]=1,buff,earth=1&add=1/1
1281,on_this_use,none,none,none,draw,count=1
1282,on_this_use,none,none,earth[1]=1,draw,earth=1&count=1
1283,on_this_use,self,source.boost,effect.source.boost[GTE]10,remove_effect,timing=on_this_destroy
1284,on_this_evolve_with_ep,op_field_1_index_[type:1|9],none,none,damage,damage=2
1285,on_this_evolve_with_ep,me_hand_0_all_[keyword:14],none,none,boost,add=2
1286,on_this_use,none,none,me.field[id:910133301].count=0,summon,id=910133301&count=1
1287,on_this_use,none,none,earth[1]=1,summon,earth=1&id=910031103&count=1
1288,on_summon,sourceEffect.target_field_0_all_[type:1],none,effect.source.where=5&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][id:910031103][type:1]=1,evolve,none
1289,on_turn_end,none,none,me.isMyTurn=1,summon,id=910031103&count=1
1290,on_this_boost,self,source.boost,effect.source.where[NOT]5,set_cost,add=-1
1291,on_this_use,none,none,none,summon,id=910133101&count=1
1292,on_this_use,me_leader_0_all_[type:0],none,none,heal,heal=2
1293,on_this_use,none,none,none,draw,count=1
1294,on_this_use,none,none,none,draw,who=op&count=1
1295,on_this_use,none,none,none,draw,count=1
1296,on_this_use,none,none,earth[1]=1,summon,appendix=1312&earth=1&id=910031102&count=1
1297,on_this_use,none,none,earth[2]=1,summon,appendix=1313&earth=1&id=910031102&count=1
1298,on_this_use,none,none,earth[3]=1,summon,appendix=1314&earth=1&id=910031102&count=1
1299,on_this_use,none,none,earth[4]=1,summon,appendix=1315&earth=1&id=910031102&count=1
1300,on_this_use,none,none,earth[5]=1,summon,appendix=1316&earth=1&id=910031102&count=1
1301,on_this_use,all_field_1_index_[type:1|9][hp:4|-2],none,none,vanish,none
1302,on_this_use,none,none,none,summon,id=910031102&count=1
1303,on_this_destroy,none,none,none,summon,id=910031104&count=1
1304,on_this_use,none,none,none,summon,id=910031301&count=2
1305,on_this_destroy,none,none,none,draw,count=1
1306,on_this_evolve_with_ep,me_field_1_index+other_[type:1],none,earth[1]=1&me.field[type:1].count>0,evolve,earth=1
1307,on_this_use,me_hand_1_index+other_[keyword:14],none,none,reveal,appendix=1308
1308,on_this_use,sourceEffect.target_hand_0_all,none,none,add_effect,id=1309&description=自己的回合開始時，使這張卡片發動6次[ffbb00]魔力增幅[-]，並失去此能力。
1309,on_turn_start,self,none,me.isMyTurn=1,boost,autoRemove=true&add=6
1310,on_this_use,me_leader_0_all_[type:0],source.boost,effect.source.boost[GTE]6,set_pp,add=3
1311,on_this_use,op_field_1_random_[type:1|9],source.boost,none,damage,repeat=1+effect.source.boost&damage=2
1312,on_this_use,sourceEffect.target_field_0_all_[type:1|9],none,none,set_keyword,keyword=2
1313,on_this_use,sourceEffect.target_field_0_all_[type:1|9],none,none,set_keyword,keyword=4
1314,on_this_use,sourceEffect.target_field_0_all_[type:1|9],none,none,set_keyword,keyword=5
1315,on_this_use,sourceEffect.target_field_0_all_[type:1|9],none,none,set_keyword,keyword=1
1316,on_this_use,me_field_0_all_[type:1|9],none,none,buff,add=1/1
1317,on_this_use,me_hand_2_index+other,none,me.isGreedy=1,discard,none
1318,on_this_use,self,none,me.isGreedy=1,buff,add=2/1
1319,on_this_use,none,none,none,draw,who=op&count=1
1320,on_this_destroy,none,none,none,draw,count=1
1321,on_this_attack,all_leader_0_all_[type:0],none,none,damage,damage=1
1322,on_this_use,me_leader_0_all_[type:0],none,me.isVenge=0,damage,damage=2
1323,on_this_use,self,none,me.isVenge=0,damage,damage=2
1324,on_this_use,self,leader.turn_give_op_leader_damage,me.isChase=1,buff,add=1/0
1325,on_this_use,me_leader+field_1_index_[type:0|1|9],none,none,damage,damage=3
1326,on_this_attack,none,leader.turn_give_op_leader_damage,me.isChase=1,draw,count=1
1327,resident,self,none,effect.source.where=5&me.isVenge=1,remove_effect,timing=all
1328,on_this_use,me_leader_0_all_[type:0],none,none,damage,damage=2
1329,on_this_use,me_field_1_index_[type:1|9],none,me.field[type:1|9].count>0,damage,damage=3
1330,on_this_use,me_leader_0_all_[type:0],none,none,damage,damage=4
1331,on_this_use,me_hand_2_random,none,none,discard,none
1332,on_this_use,self,none,me.isVenge=1,buff,add=2/2
